observation_uuid,start_lat,start_lon,start_code_postal,end_lat,end_lon,end_code_postal,rain,heat,day_of_week,hour,minute,fee
0d742256-0b36-f3cd-0acf-eba4441030ae,48.8406,2.322,75014,48.8262,2.3192,75014,2,5,Saturday,13,44,1.69
743c7e9d-2fde-b035-2452-bc39dbf2eed1,48.8472,2.3527,75005,48.8337,2.388,75012,9,3,Tuesday,14,14,1.59
43893bc5-449c-56ef-3857-ebe679ffa869,48.9015,2.3704,75019,48.8814,2.3484,75009,1,9,Sunday,14,39,2.19
284884a2-55e5-c1d9-b036-4ad9ee5be9b9,48.8504,2.2902,75015,48.8716,2.2811,75016,6,2,Thursday,12,46,1.79
a0ce5b5f-ca56-3921-f942-2f1efed97f9e,48.8583,2.3894,75011,48.8623,2.3426,75001,2,6,Friday,13,38,2.09
de386aeb-ea96-abe6-299c-f16b5a7583c0,48.8484,2.2891,75015,48.8521,2.3091,75007,2,6,Friday,12,5,1.89
234131e2-5dce-8477-c9e1-893ec3fb3743,48.8424,2.3476,75005,48.823,2.3248,75014,3,2,Saturday,12,37,2.09
0703c5f1-5b4f-5458-6523-923afe963e96,48.8363,2.3069,75015,48.8382,2.2621,75016,3,1,Thursday,14,18,2.59
aedab7b5-e2aa-55a7-4951-03edfd05a5f5,48.8855,2.3214,75017,48.8469,2.3084,75015,1,4,Friday,13,18,3.29
15dde31a-b9e4-4e0e-3fab-916954101fe9,48.8457,2.3192,75006,48.8802,2.2955,75017,2,7,Thursday,12,38,2.49
f9d7d79d-fd0b-fd3b-a7d8-baef3a0aff49,48.8599,2.2737,75016,48.8699,2.2996,75008,2,3,Tuesday,14,44,2.49
9602634b-0845-3d3e-6424-d7ef4d433c1f,48.8812,2.3407,75009,48.8853,2.3151,75017,1,8,Saturday,13,25,1.59
e771edcc-969a-2550-fdb9-def338428c7a,48.8807,2.3408,75009,48.8809,2.3087,75017,0,8,Saturday,13,57,2.39
de5fe0ee-8010-9500-5ae5-253066b48fc6,48.8721,2.3766,75010,48.8828,2.3892,75019,3,2,Saturday,12,37,0.89
28ef1f7c-347c-c539-15ea-9628ee845e1d,48.8276,2.3544,75013,48.8306,2.3387,75014,3,0,Saturday,12,45,1.39
b5cbb690-735b-3a80-3fbd-aeed723dc8f5,48.8703,2.397,75020,48.8577,2.3695,75011,1,2,Friday,12,42,1.79
77ab975d-a717-743f-4adb-2666888b4ced,48.8284,2.33,75014,48.823,2.3449,75013,7,4,Sunday,13,28,0.99
934055bf-3a69-6460-d811-a6c0afeb8e24,48.8557,2.306,75007,48.865,2.2785,75016,9,2,Thursday,12,23,1.79
085d7943-eb63-d7ef-1540-654de644d4f4,48.8611,2.3809,75011,48.8434,2.389,75012,7,1,Saturday,12,42,1.19
99d081be-e76f-b887-2c45-33ea33cb1b20,48.8595,2.3578,75003,48.8311,2.3741,75013,5,5,Sunday,12,58,1.59
fccdbab0-b13b-40ac-30cc-eeb348d46113,48.8977,2.3421,75018,48.8747,2.3799,75019,9,4,Saturday,13,34,2.49
c6b23bac-701a-484e-f57b-6006dfc0993b,48.8491,2.2757,75016,48.8654,2.2875,75016,6,4,Saturday,13,30,1.79
bf33551d-f629-2535-02b3-3be214ed05bd,48.853,2.3627,75004,48.8474,2.3199,75006,5,9,Monday,13,10,2.29
d6638406-290a-f021-31d4-f7df847eabd3,48.8468,2.3001,75015,48.8556,2.3084,75007,3,3,Saturday,13,45,1.49
3c6a7d4a-384f-1130-e288-137e2889d205,48.8357,2.2908,75015,48.8267,2.3268,75014,3,6,Sunday,12,20,1.29
00d2870b-4b5c-31ed-72bb-ccfc34ff496a,48.8198,2.3503,75013,48.8602,2.3669,75003,7,3,Sunday,12,47,2.79
605dd4d6-0ecf-b95b-877a-2133f2ed33e1,48.8477,2.3772,75012,48.8657,2.3372,75001,9,1,Monday,12,6,2.49
636c7dd5-2a23-6a88-f66a-e1d6e484a48e,48.8451,2.2868,75015,48.8491,2.2637,75016,7,5,Saturday,12,53,1.09
ea78c8ca-e178-5bbb-0d6d-2e08bee2a976,48.826,2.3597,75013,48.8198,2.3329,75014,9,1,Friday,14,10,2.59
f15a4acc-026a-bbaa-144b-3f569e66466c,48.8711,2.328,75009,48.8608,2.3174,75007,6,1,Saturday,13,19,1.49
92596e08-1cd8-7322-1520-6eedd53080d7,48.8496,2.3083,75007,48.8761,2.3061,75008,7,5,Monday,12,10,1.79
fa4b0bc6-5121-f31f-5028-361fa94501d7,48.8408,2.263,75016,48.8505,2.294,75015,3,5,Thursday,13,47,1.89
6b1c08c4-e469-f108-9289-4e79be8b0f6b,48.8761,2.3061,75008,48.8789,2.3278,75009,6,8,Monday,12,34,1.59
2011bc8a-e7bf-9a96-6484-9eb55096ccf2,48.8832,2.3156,75017,48.8769,2.311,75008,2,0,Tuesday,13,26,0.99
b0464634-93a7-468c-10c1-5f57fed68dc1,48.8644,2.3382,75001,48.8818,2.3467,75009,9,1,Saturday,12,16,2.49
35c44ff7-9ea9-1fe1-49f3-5d6ba37df6b9,48.8816,2.3231,75008,48.8832,2.3156,75017,6,3,Friday,13,9,0.89
f54afc1f-b82e-cce7-4ed6-0e1cc4909ed7,48.8406,2.3509,75005,48.8311,2.3423,75013,4,8,Tuesday,14,29,1.89
9fbe505b-accb-54e8-00ff-8b112a183608,48.8264,2.328,75014,48.8306,2.3546,75013,4,8,Sunday,13,6,1.99
8aaafcb8-98b8-3c2d-b999-c75c21819e78,48.8878,2.3338,75018,48.8854,2.3606,75018,0,4,Thursday,13,5,0.99
